Paramater,Value
alpha_h_11,0.7995127138137914
alpha_h_11_ub,0.9694498896017324
alpha_h_11_lb,0.03055011039826757
alpha_h_01,0.7797120693190425
alpha_h_01_ub,0.9780992631611711
alpha_h_01_lb,0.02190073683882894
alpha_h_10,0.21712911667019097
alpha_h_10_ub,0.8315202529663132
alpha_h_10_lb,0.16847974703368687
alpha_h_00,0.19188160439903978
alpha_h_00_ub,0.8861176918548547
alpha_h_00_lb,0.11388230814514534
