Paramater,Value
alpha_h_11,0.9302221616806651
alpha_h_11_ub,0.9336318577311356
alpha_h_11_lb,0.06636814226886435
alpha_h_01,0.6734875115576637
alpha_h_01_ub,0.9537266786170119
alpha_h_01_lb,0.04627332138298807
alpha_h_10,0.2638854881406882
alpha_h_10_ub,0.8684845961954926
alpha_h_10_lb,0.13151540380450744
alpha_h_00,0.047980550868861424
alpha_h_00_ub,0.9661088191143535
alpha_h_00_lb,0.033891180885646494
