Paramater,Value
alpha_h_11,0.3942647081870433
alpha_h_11_ub,0.86761720018503
alpha_h_11_lb,0.13238279981497003
alpha_h_01,0.32569463194893844
alpha_h_01_ub,0.7642708959300613
alpha_h_01_lb,0.23572910406993877
alpha_h_10,0.08190547996218953
alpha_h_10_ub,0.9189221933751988
alpha_h_10_lb,0.08107780662480132
alpha_h_00,0.05869201724057062
alpha_h_00_ub,0.8665157753367138
alpha_h_00_lb,0.1334842246632862
